,timestamp,arrival_queue,temp_queue,task_in_processor,completed_queue,transitioning_task,transition_from,transition_to
0,0,"['task0,task1,task2,task3']",[],-1,[],-1,none,none
1,0,"['task1,task2,task3']",['task0'],-1,[],task0,arrival,temp
2,0,"['task2,task3']","['task0,task1']",-1,[],task1,arrival,temp
3,0,"['task2,task3']",['task1'],0,[],task0,temp,processing
4,1,"['task2,task3']","['task0,task1']",0,[],task0,processing,temp
5,1,"['task2,task3']",['task1'],0,[],task0,temp,processing
6,2,"['task2,task3']","['task0,task1']",0,[],task0,processing,temp
7,2,"['task2,task3']",['task1'],0,[],task0,temp,processing
8,3,"['task2,task3']","['task0,task1']",0,[],task0,processing,temp
9,3,"['task2,task3']",['task1'],0,[],task0,temp,processing
10,4,"['task2,task3']","['task0,task1']",0,[],task0,processing,temp
11,4,"['task2,task3']",['task1'],0,[],task0,temp,processing
12,5,"['task2,task3']","['task0,task1']",0,[],task0,processing,temp
13,5,['task3'],"['task2,task0,task1']",0,[],task2,arrival,temp
14,5,['task3'],"['task0,task1']",2,[],task2,temp,processing
15,6,['task3'],"['task2,task0,task1']",2,[],task2,processing,temp
16,6,['task3'],"['task0,task1']",2,[],task2,temp,processing
17,7,['task3'],"['task0,task1']",2,['task2'],task2,processing,complete
18,7,['task3'],['task1'],0,['task2'],task0,temp,processing
19,8,['task3'],"['task0,task1']",0,['task2'],task0,processing,temp
20,8,['task3'],['task1'],0,['task2'],task0,temp,processing
21,9,['task3'],"['task0,task1']",0,['task2'],task0,processing,temp
22,9,['task3'],['task1'],0,['task2'],task0,temp,processing
23,10,['task3'],"['task0,task1']",0,['task2'],task0,processing,temp
24,10,[],"['task0,task3,task1']",0,['task2'],task3,arrival,temp
25,10,[],"['task3,task1']",0,['task2'],task0,temp,processing
26,11,[],"['task0,task3,task1']",0,['task2'],task0,processing,temp
27,11,[],"['task3,task1']",0,['task2'],task0,temp,processing
28,12,[],"['task3,task1']",0,"['task2,task0']",task0,processing,complete
29,12,[],['task1'],3,"['task2,task0']",task3,temp,processing
30,13,[],"['task3,task1']",3,"['task2,task0']",task3,processing,temp
31,13,[],['task1'],3,"['task2,task0']",task3,temp,processing
32,14,[],"['task3,task1']",3,"['task2,task0']",task3,processing,temp
33,14,[],['task1'],3,"['task2,task0']",task3,temp,processing
34,15,[],"['task3,task1']",3,"['task2,task0']",task3,processing,temp
35,15,[],['task1'],3,"['task2,task0']",task3,temp,processing
36,16,[],"['task3,task1']",3,"['task2,task0']",task3,processing,temp
37,16,[],['task1'],3,"['task2,task0']",task3,temp,processing
38,17,[],"['task3,task1']",3,"['task2,task0']",task3,processing,temp
39,17,[],['task1'],3,"['task2,task0']",task3,temp,processing
40,18,[],"['task3,task1']",3,"['task2,task0']",task3,processing,temp
41,18,[],['task1'],3,"['task2,task0']",task3,temp,processing
42,19,[],"['task3,task1']",3,"['task2,task0']",task3,processing,temp
43,19,[],['task1'],3,"['task2,task0']",task3,temp,processing
44,20,[],['task1'],3,"['task2,task0,task3']",task3,processing,complete
45,20,[],[],1,"['task2,task0,task3']",task1,temp,processing
46,21,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
47,21,[],[],1,"['task2,task0,task3']",task1,temp,processing
48,22,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
49,22,[],[],1,"['task2,task0,task3']",task1,temp,processing
50,23,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
51,23,[],[],1,"['task2,task0,task3']",task1,temp,processing
52,24,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
53,24,[],[],1,"['task2,task0,task3']",task1,temp,processing
54,25,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
55,25,[],[],1,"['task2,task0,task3']",task1,temp,processing
56,26,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
57,26,[],[],1,"['task2,task0,task3']",task1,temp,processing
58,27,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
59,27,[],[],1,"['task2,task0,task3']",task1,temp,processing
60,28,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
61,28,[],[],1,"['task2,task0,task3']",task1,temp,processing
62,29,[],['task1'],1,"['task2,task0,task3']",task1,processing,temp
63,29,[],[],1,"['task2,task0,task3']",task1,temp,processing
64,30,[],[],1,"['task2,task0,task3,task1']",task1,processing,complete
65,30,[],[],1,"['task2,task0,task3,task1']",-1,none,none
